Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27,Column 28,Column 29,Column 30
1Philadelphia 76ers PHI,37,17,0.685,--,24-7,9-2,20-5,17-12,3-2,6-4,W 2,,,,,,,,,,,,,,,,,,
2Brooklyn Nets BKN,37,17,0.685,--,19-11,6-2,22-7,15-10,2-2,7-3,W 1,,,,,,,,,,,,,,,,,,
3Milwaukee Bucks MIL,34,20,0.630,3,19-10,9-0,18-8,16-12,1-0,5-5,W 2,,,,,,,,,,,,,,,,,,
4Atlanta Hawks ATL,30,25,0.545,7.5,16-12,4-3,14-10,16-15,2-1,7-3,W 3,,,,,,,,,,,,,,,,,,
5Boston Celtics BOS,29,26,0.527,8.5,18-14,4-6,17-10,12-16,1-2,7-3,W 4,,,,,,,,,,,,,,,,,,
6Miami Heat MIA,28,26,0.519,9,16-15,5-5,15-13,13-13,0-4,6-4,L 1,,,,,,,,,,,,,,,,,,
7Charlotte Hornets CHA,27,26,0.509,9.5,15-12,7-2,13-11,14-15,1-1,5-5,L 2,,,,,,,,,,,,,,,,,,
8New York Knicks NYK,28,27,0.509,9.5,19-17,2-8,17-10,11-17,1-1,5-5,W 3,,,,,,,,,,,,,,,,,,
9Indiana Pacers IND,25,28,0.472,11.5,14-17,5-4,9-16,16-12,5-1,5-5,L 1,,,,,,,,,,,,,,,,,,
10Chicago Bulls CHI,22,31,0.415,14.5,12-12,4-3,10-16,12-15,2-2,3-7,L 3,,,,,,,,,,,,,,,,,,
11Toronto Raptors TOR,21,34,0.382,16.5,14-20,3-6,11-15,10-19,0-0,3-7,L 2,,,,,,,,,,,,,,,,,,
12Washington Wizards WAS,20,33,0.377,16.5,8-23,2-7,10-16,10-17,1-0,5-5,W 1,,,,,,,,,,,,,,,,,,
13Cleveland Cavaliers CLE,19,34,0.358,17.5,13-15,3-5,11-15,8-19,3-0,3-7,L 2,,,,,,,,,,,,,,,,,,
14Orlando Magic ORL,17,37,0.315,20,10-20,4-5,10-19,7-18,1-1,2-8,L 6,,,,,,,,,,,,,,,,,,
15Detroit Pistons DET,16,38,0.296,21,10-22,0-9,9-15,7-23,1-3,4-6,L 2,,,,,,,,,,,,,,,,,,
1Utah Jazz UTA,41,14,0.745,--,19-8,5-2,25-3,16-11,0-2,7-3,W 1,,,,,,,,,,,,,,,,,,
2Phoenix Suns PHX,39,15,0.722,1.5,23-9,5-3,22-8,17-7,2-3,9-1,W 3,,,,,,,,,,,,,,,,,,
3LA Clippers LAC,38,18,0.679,3.5,22-10,8-2,22-8,16-10,0-0,8-2,W 6,,,,,,,,,,,,,,,,,,
4Denver Nuggets DEN,34,20,0.630,6.5,18-12,7-1,18-10,16-10,3-2,8-2,L 2,,,,,,,,,,,,,,,,,,
5Los Angeles Lakers LAL,34,21,0.618,7,20-11,3-6,16-11,18-10,3-1,6-4,W 1,,,,,,,,,,,,,,,,,,
6Portland Trail Blazers POR,31,23,0.574,9.5,16-14,4-5,16-12,15-11,1-0,5-5,L 2,,,,,,,,,,,,,,,,,,
7Dallas Mavericks DAL,29,24,0.547,11,16-16,5-4,13-12,16-12,1-0,6-4,L 2,,,,,,,,,,,,,,,,,,
8Memphis Grizzlies MEM,27,25,0.519,12.5,12-17,4-5,13-15,14-10,2-1,6-4,W 1,,,,,,,,,,,,,,,,,,
9San Antonio Spurs SAS,26,26,0.500,13.5,14-19,5-6,12-17,14-9,1-3,4-6,W 2,,,,,,,,,,,,,,,,,,
10Golden State Warriors GSW,26,28,0.481,14.5,14-14,3-7,17-10,9-18,1-0,4-6,W 2,,,,,,,,,,,,,,,,,,
11New Orleans Pelicans NOP,25,29,0.463,15.5,14-17,6-3,16-13,9-16,1-2,6-4,W 3,,,,,,,,,,,,,,,,,,
12Sacramento Kings SAC,22,32,0.407,18.5,10-16,4-5,12-15,10-17,1-0,3-7,L 7,,,,,,,,,,,,,,,,,,
13Oklahoma City Thunder OKC,20,34,0.370,20.5,11-21,3-8,9-19,11-15,1-2,1-9,L 7,,,,,,,,,,,,,,,,,,
14Houston Rockets HOU,14,40,0.259,26.5,10-22,5-7,7-19,7-21,0-1,2-8,L 3,,,,,,,,,,,,,,,,,,
15Minnesota Timberwolves MIN,14,42,0.250,27.5,9-22,3-6,9-19,5-23,0-4,3-7,L 2,,,,,,,,,,,,,,,,,,
