#,Player,Team,Age,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
1,Bradley Beal,WAS,27,44,19,25,35.3,31.0,10.9,22.5,48.5,2.2,6.4,34.4,6.9,7.8,89.4,1.2,3.7,4.8,4.8,3.3,1.2,0.4,2.4,45.3,3,0,-2.6
2,Stephen Curry,GSW,33,46,25,21,34.0,30.4,10.0,20.6,48.5,4.9,11.7,41.6,5.6,6.0,92.4,0.5,5.0,5.5,5.9,3.2,1.3,0.1,1.8,46.9,8,0,2.5
3,Joel Embiid,PHI,27,36,28,8,32.1,29.6,9.3,17.8,52.0,1.1,3.0,38.3,9.9,11.6,85.2,2.1,8.9,11.0,3.1,3.1,1.1,1.5,2.5,51.8,22,0,8.8
4,Giannis Antetokounmpo,MIL,26,45,29,16,34.0,28.8,10.4,18.4,56.5,1.1,3.8,30.2,6.8,9.9,68.7,1.8,9.6,11.4,6.2,3.8,1.1,1.3,2.9,55.3,32,7,7.6
5,Damian Lillard,POR,30,52,29,23,35.9,28.7,8.8,20.1,44.0,4.1,10.8,37.9,6.9,7.5,92.5,0.5,3.7,4.2,7.7,3.2,0.9,0.3,1.6,45.5,14,0,1.3
6,Luka Doncic,DAL,22,48,28,20,35.0,28.6,10.2,20.9,48.6,3.0,8.1,36.6,5.3,7.1,73.9,0.8,7.2,8.0,8.6,4.3,1.0,0.6,2.2,51.3,19,9,2.3
7,Kevin Durant,BKN,32,22,14,8,34.1,28.2,9.6,18.0,53.5,2.5,5.7,44.8,6.4,7.3,87.6,0.4,6.7,7.1,5.2,3.9,0.6,1.3,2.0,46.6,6,0,9.1
8,Kyrie Irving,BKN,29,38,27,11,35.2,27.6,10.6,20.7,51.4,2.8,7.0,39.8,3.6,3.9,90.7,1.1,3.7,4.8,6.0,2.2,1.2,0.6,2.8,45.5,5,0,6.6
9,Zach LaVine,CHI,26,52,22,30,35.2,27.5,9.8,19.4,50.6,3.4,8.2,41.4,4.5,5.3,84.7,0.6,4.5,5.1,5.0,3.6,0.8,0.5,2.3,41.4,3,0,-0.8
10,Zion Williamson,NOP,20,49,24,25,32.9,26.8,10.3,16.6,62.0,0.2,0.5,36.0,6.1,8.7,70.3,2.6,4.6,7.1,3.7,2.5,0.9,0.7,2.2,43.1,12,0,0.8
11,Donovan Mitchell,UTA,24,52,38,14,33.7,26.5,9.1,20.7,43.8,3.4,8.7,38.5,5.0,6.0,84.2,0.9,3.5,4.4,5.3,2.7,1.0,0.3,2.2,40.9,2,0,5.6
12,Nikola Jokic,DEN,26,54,34,20,35.4,26.2,10.3,18.2,56.5,1.4,3.4,41.8,4.1,4.8,85.4,2.9,8.1,10.9,8.8,3.1,1.5,0.6,2.7,55.6,48,14,5.9
13,Kawhi Leonard,LAC,29,45,31,14,34.6,26.0,9.4,18.3,51.5,2.0,5.0,39.5,5.1,5.8,87.8,1.2,5.4,6.6,5.0,2.0,1.7,0.4,1.7,45.9,8,0,7.9
