Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20
RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS,,,,,,,,,,,
1,"LeBron James, SF",LAL,41,33.9,4.67,2.11,6.78,11.16,,,,,,,,,,,
2,"Stephen Curry, PG",GS,53,34.1,6.95,-0.25,6.70,15.49,,,,,,,,,,,
3,"Rudy Gobert, C",UTAH,59,31.1,-1.29,7.17,5.88,12.77,,,,,,,,,,,
4,"Giannis Antetokounmpo, PF",MIL,51,33.6,4.01,1.09,5.10,11.95,,,,,,,,,,,
5,"Paul George, SG",LAC,46,33.7,2.18,2.70,4.88,9.50,,,,,,,,,,,
6,"James Harden, SG",HOU/BKN,42,37.1,3.88,0.99,4.87,9.41,,,,,,,,,,,
7,"Joel Embiid, C",PHI,41,32.1,2.44,2.29,4.73,8.08,,,,,,,,,,,
8,"Nikola Jokic, C",DEN,60,35.3,3.08,1.54,4.62,12.54,,,,,,,,,,,
9,"Mike Conley, PG",UTAH,48,29.8,1.11,3.34,4.45,8.08,,,,,,,,,,,
10,"Lonzo Ball, PG",NO,46,31.1,3.38,1.00,4.37,7.88,,,,,,,,,,,
11,"Damian Lillard, PG",POR,55,36.0,3.51,0.66,4.17,10.59,,,,,,,,,,,
12,"Devonte' Graham, PG",CHA,48,29.9,1.80,2.07,3.87,7.96,,,,,,,,,,,
13,"Fred VanVleet, SG",TOR,47,36.1,1.39,2.35,3.73,9.09,,,,,,,,,,,
14,"Kyle Lowry, PG",TOR,42,34.7,2.78,0.92,3.70,7.68,,,,,,,,,,,
15,"Kevin Durant, PF",BKN,25,32.5,4.32,-0.71,3.61,4.29,,,,,,,,,,,
16,"Jamal Murray, PG",DEN,48,35.5,0.38,3.12,3.50,8.02,,,,,,,,,,,
17,"CJ McCollum, SG",POR,35,34.0,2.42,1.00,3.42,5.93,,,,,,,,,,,
18,"Joe Harris, SF",BKN,61,30.9,-0.17,3.55,3.37,9.00,,,,,,,,,,,
19,"Chris Paul, PG",PHX,59,31.7,0.39,2.93,3.32,8.74,,,,,,,,,,,
20,"Christian Wood, C",HOU,37,32.0,0.59,2.73,3.32,5.67,,,,,,,,,,,
21,"Kyrie Irving, PG",BKN,45,35.2,3.05,0.26,3.31,7.77,,,,,,,,,,,
22,"Jimmy Butler, SF",MIA,44,33.9,1.40,1.76,3.16,6.97,,,,,,,,,,,
23,"Bam Adebayo, C",MIA,54,33.5,-0.76,3.80,3.04,7.93,,,,,,,,,,,
24,"Duncan Robinson, SG",MIA,61,32.1,-0.52,3.41,2.89,8.60,,,,,,,,,,,
25,"Clint Capela, C",ATL,53,30.6,-1.23,4.05,2.81,7.05,,,,,,,,,,,
26,"De'Aaron Fox, PG",SAC,58,35.1,2.81,-0.01,2.80,9.06,,,,,,,,,,,
27,"Luka Doncic, PG",DAL,54,35.1,2.36,0.42,2.77,8.52,,,,,,,,,,,
28,"Jaylen Brown, SG",BOS,54,34.2,1.94,0.79,2.74,8.42,,,,,,,,,,,
29,"Ben Simmons, PG",PHI,48,33.3,1.29,1.44,2.73,7.05,,,,,,,,,,,
30,"Julius Randle, PF",NY,60,37.5,-0.66,3.37,2.71,9.31,,,,,,,,,,,
