Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27,Column 28,Column 29,Column 30
1,Ivica Zubac,LAC,24,56,38,18,22.1,113.8,111.4,2.4,7.6,1.12,13.7,12.4,20.7,16.6,12.3,65.2,69.4,14.4,99.61,11.7,"2,576",,,,,,
2,Anthony Edwards,MIN,19,55,14,41,31.4,108.6,116.1,-7.5,13.0,1.22,11.5,2.5,11.7,6.8,9.4,46.3,49.9,26.5,102.87,8.4,"3,699",,,,,,
2,Bojan Bogdanovic,UTA,31,55,41,14,30.4,116.8,108.1,8.7,8.7,1.27,10.9,1.8,10.3,6.2,8.6,51.9,57.0,20.7,100.20,8.5,"3,481",,,,,,
2,Chris Boucher,TOR,28,55,21,34,23.7,114.8,110.5,4.3,7.0,1.41,8.5,7.9,18.7,13.4,6.0,59.5,63.4,20.5,100.16,13.4,"2,714",,,,,,
2,Cory Joseph,DET,29,55,23,32,22.1,110.1,115.3,-5.2,19.5,2.69,28.4,2.6,8.6,5.6,10.6,51.9,55.5,15.4,100.89,7.5,"2,542",,,,,,
2,Georges Niang,UTA,27,55,41,14,14.3,113.6,100.0,13.6,6.9,1.11,11.5,2.2,12.1,7.3,10.3,58.8,59.4,15.8,102.37,7.1,"1,671",,,,,,
2,Kevin Huerter,ATL,22,55,30,25,30.8,112.8,113.3,-0.5,16.4,3.05,22.6,1.8,8.6,5.2,7.4,52.0,53.6,16.7,99.22,7.4,"3,503",,,,,,
2,Montrezl Harrell,LAL,27,55,34,21,24.4,108.0,103.3,4.7,7.4,0.94,8.2,10.0,16.6,13.4,8.8,62.1,64.9,20.8,100.07,15.2,"2,798",,,,,,
2,RJ Barrett,NYK,20,55,28,27,34.0,108.5,106.7,1.8,14.0,1.54,14.2,2.9,13.1,8.1,9.2,49.7,53.5,23.1,97.77,10.0,"3,804",,,,,,
2,Rudy Gobert,UTA,28,55,41,14,31.0,117.3,102.1,15.2,6.2,0.82,9.7,10.8,28.2,20.0,11.9,66.7,67.5,16.7,101.34,16.2,"3,595",,,,,,
