Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20
1,Golden State,"$170,467,299.00","$160,106,508.00","$101,953,999.00","$70,805,664.00",$0.00,$0.00,,,,,,,,,,,,
2,Brooklyn,"$168,854,452.00","$165,982,367.00","$157,168,219.00","$19,928,571.00",$0.00,$0.00,,,,,,,,,,,,
3,Philadelphia,"$147,401,509.00","$129,159,871.00","$118,760,387.00","$77,163,558.00","$40,338,144.00",$0.00,,,,,,,,,,,,
4,LA Clippers,"$138,604,159.00","$144,294,736.00","$80,128,634.00","$77,520,080.00","$48,787,763.00",$0.00,,,,,,,,,,,,
5,LA Lakers,"$138,326,578.00","$119,994,657.00","$109,460,411.00","$53,600,080.00","$43,219,440.00",$0.00,,,,,,,,,,,,
6,Utah,"$136,048,278.00","$130,397,746.00","$120,253,320.00","$96,775,040.00","$78,050,560.00","$83,086,080.00",,,,,,,,,,,,
7,Milwaukee,"$135,289,205.00","$143,531,830.00","$135,507,831.00","$122,050,499.00","$87,285,253.00","$51,928,800.00",,,,,,,,,,,,
8,Miami,"$134,303,159.00","$77,828,964.00","$68,001,300.00","$32,596,000.00","$34,844,000.00","$37,092,000.00",,,,,,,,,,,,
9,New Orleans,"$133,704,545.00","$91,418,170.00","$68,952,429.00","$33,833,400.00","$36,016,200.00",$0.00,,,,,,,,,,,,
10,Houston,"$132,836,984.00","$92,796,702.00","$90,368,533.00","$22,848,583.00",$0.00,$0.00,,,,,,,,,,,,
11,Boston,"$132,032,864.00","$132,077,647.00","$95,626,895.00","$62,027,548.00","$34,844,000.00","$37,092,000.00",,,,,,,,,,,,
12,Memphis,"$131,564,083.00","$87,045,462.00","$25,732,621.00","$10,400,000.00",$0.00,$0.00,,,,,,,,,,,,
13,Portland,"$131,549,111.00","$131,543,365.00","$83,427,762.00","$86,552,469.00","$54,250,000.00",$0.00,,,,,,,,,,,,
14,Washington,"$131,265,055.00","$120,309,003.00","$100,325,777.00","$17,000,000.00","$16,000,000.00",$0.00,,,,,,,,,,,,
15,Minnesota,"$130,280,289.00","$131,265,754.00","$88,301,065.00","$36,016,200.00",$0.00,$0.00,,,,,,,,,,,,
16,Indiana,"$129,408,812.00","$116,253,392.00","$84,188,736.00","$19,400,000.00",$0.00,$0.00,,,,,,,,,,,,
17,Denver,"$129,184,135.00","$125,136,013.00","$74,392,370.00","$43,634,326.00","$36,016,200.00",$0.00,,,,,,,,,,,,
18,Chicago,"$128,963,580.00","$96,304,124.00","$22,000,000.00",$0.00,$0.00,$0.00,,,,,,,,,,,,
19,Phoenix,"$128,858,241.00","$124,828,321.00","$57,182,200.00","$36,016,200.00",$0.00,$0.00,,,,,,,,,,,,
20,Cleveland,"$128,629,143.00","$90,652,433.00","$46,041,645.00","$6,718,842.00",$0.00,$0.00,,,,,,,,,,,,
21,Toronto,"$128,541,542.00","$88,847,935.00","$74,055,815.00","$79,360,339.00","$19,928,571.00",$0.00,,,,,,,,,,,,
22,San Antonio,"$127,903,078.00","$58,174,145.00","$46,555,606.00","$35,821,143.00","$19,321,429.00",$0.00,,,,,,,,,,,,
23,Dallas,"$127,507,823.00","$84,970,945.00","$59,071,146.00","$36,016,200.00",$0.00,$0.00,,,,,,,,,,,,
24,Orlando,"$121,331,142.00","$101,547,799.00","$45,400,000.00","$34,400,000.00","$17,400,000.00",$0.00,,,,,,,,,,,,
25,Atlanta,"$118,647,039.00","$95,496,087.00","$59,656,896.00","$18,000,000.00",$0.00,$0.00,,,,,,,,,,,,
26,Detroit,"$116,973,878.00","$103,380,107.00","$35,197,488.00","$2,866,667.00","$2,866,667.00",$0.00,,,,,,,,,,,,
27,Charlotte,"$108,218,809.00","$83,125,939.00","$44,614,401.00","$31,500,000.00",$0.00,$0.00,,,,,,,,,,,,
28,Sacramento,"$105,952,605.00","$100,041,976.00","$69,723,001.00","$51,664,183.00","$34,844,000.00","$37,092,000.00",,,,,,,,,,,,
29,New York,"$97,712,712.00","$48,017,364.00",$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,
30,Oklahoma City,"$91,599,911.00","$49,837,674.00","$35,107,300.00","$1,930,681.00",$0.00,$0.00,,,,,,,,,,,,
